ndays,MJm2
3104,14.414652
3105,17.161308
3106,13.73238
3107,4.42008
3108,11.49372
3109,14.35608
3110,17.630784
3111,9.103716
3112,12.838644
3113,13.27986
3114,7.269588
3115,20.777976
3116,17.891568
3117,8.309448
3118,9.993852
3119,10.235016
3120,13.414356
3121,4.082328
3122,10.652904
3123,12.111156
3124,12.264264
3125,4.323384
3126,12.116916
3127,8.634852
3128,7.457112
3129,2.636712
3130,10.881324
3131,12.006252
3132,6.459696
3133,13.71132
3134,16.059708
3135,13.70772
3136,8.999424
3137,12.313584
3138,18.265176
3139,13.71492
3140,12.326112
3141,7.668792
3142,15.84198
3143,20.840652
3144,10.894788
3145,19.818792
3146,11.783592
3147,11.692656
3148,13.213584
3149,8.18892
3150,14.418252
3151,17.212896
3152,8.176788
3153,15.394392
3154,17.275572
3155,7.39926
3156,14.721984
3157,14.419584
3158,16.378344
3159,18.115056
3160,11.82942
3161,11.77506
3162,12.288096
3163,9.780336
3164,14.596524
3165,13.929048
3166,13.541868
3167,23.743188
3168,12.50532
3169,18.39906
3170,16.499592
3171,17.174772
3172,15.299856
3173,20.495196
3174,16.497432
3175,6.518376
3176,11.487564
3177,12.47274
3178,18.183312
3179,14.380128
3180,14.991192
3181,18.635184
3182,8.141436
3183,17.237448
3184,10.464768
3185,11.315448
3186,19.595196
3187,14.958108
3188,13.320756
3189,9.862128
3190,12.187404
3191,5.51808
3192,14.871996
3193,16.081596
3194,14.779728
3195,7.339464
3196,11.857464
3197,17.12412
3198,14.439312
3199,14.627448
3200,15.055308
3201,13.620384
3202,13.260132
3203,9.81198
3204,12.861864
3205,16.14078
3206,16.357176
3207,12.352932
3208,12.781404
3209,8.149464
3210,6.492384
3211,10.658664
3212,13.0608
3213,6.77772
3214,6.068628
3215,3.985848
3216,8.942904
3217,18.984132
3218,16.613028
3219,14.320224
3220,13.70591448
3221,10.548
3222,14.529528
3223,8.796384
3224,14.024916
3225,21.392532
3226,13.760532
3227,9.343332
3228,18.816228
3229,15.067332
3230,19.081332
3231,15.505056
3232,18.192636
3233,8.604648
3234,10.19052
3235,7.877268
3236,9.658368
3237,12.9564
3238,13.608252
3239,6.759432
3240,4.363056
3241,4.047696
3242,10.146132
3243,10.689588
3244,8.644932
3245,11.32038
3246,18.810792
3247,9.957168
3248,18.597168
3249,12.295188
3250,11.452932
3251,12.554532
3252,15.672132
