Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,2/9/2012,0-10,6,37.7,60.5
LUTZ *,2/9/2012,0-10,7,29.6,42.1
LUTZ *,2/9/2012,0-10,8,36.2,56.7
LUTZ *,2/9/2012,0-10,9,29.3,41.5
LUTZ *,2/9/2012,0-10,10,27.6,38.2
LUTZ *,2/9/2012,30-40,1,33,49.3
LUTZ *,2/9/2012,30-40,2,33.2,49.6
LUTZ *,2/9/2012,30-40,3,37,58.7
LUTZ *,2/9/2012,30-40,4,32.6,48.5
LUTZ *,2/9/2012,30-40,5,35.4,54.9
LUTZ *,2/9/2012,30-40,6,39,64
LUTZ *,2/9/2012,30-40,7,29.2,41.3
LUTZ *,2/9/2012,30-40,8,26.1,35.4
LUTZ *,2/9/2012,30-40,9,30.5,43.8
LUTZ *,2/9/2012,30-40,10,27.9,38.7
LUTZ *,2/17/2012,0-10,1,28,38.8
LUTZ *,2/17/2012,0-10,2,30.1,43
LUTZ *,2/17/2012,0-10,3,35.1,54
LUTZ *,2/17/2012,0-10,4,31.8,46.6
LUTZ *,2/17/2012,0-10,5,35.2,54.3
LUTZ *,2/17/2012,0-10,6,36.4,57.2
LUTZ *,2/17/2012,0-10,7,29.8,42.4
LUTZ *,2/17/2012,0-10,8,34.4,52.5
LUTZ *,2/17/2012,0-10,9,27.4,37.8
LUTZ *,2/17/2012,0-10,10,25.3,33.9
LUTZ *,2/17/2012,30-40,1,33.1,49.6
LUTZ *,2/17/2012,30-40,2,30.4,43.6
LUTZ *,2/17/2012,30-40,3,35.3,54.4
LUTZ *,2/17/2012,30-40,4,29.4,41.7
LUTZ *,2/17/2012,30-40,5,34.9,53.6
LUTZ *,2/17/2012,30-40,6,38.1,61.6
LUTZ *,2/17/2012,30-40,7,29.6,42
LUTZ *,2/17/2012,30-40,8,25.3,33.8
LUTZ *,2/17/2012,30-40,9,27.5,37.9
LUTZ *,2/17/2012,30-40,10,26,35.1
LUTZ *,2/24/2012,0-10,1,32.1,47.3
LUTZ *,2/24/2012,0-10,2,30.9,44.7
LUTZ *,2/24/2012,0-10,3,33.5,50.4
LUTZ *,2/24/2012,0-10,4,28.9,40.7
LUTZ *,2/24/2012,0-10,5,33.2,49.8
LUTZ *,2/24/2012,0-10,6,35.8,55.7
LUTZ *,2/24/2012,0-10,7,29,40.8
LUTZ *,2/24/2012,0-10,8,34.6,52.8
LUTZ *,2/24/2012,0-10,9,27.7,38.3
LUTZ *,2/24/2012,0-10,10,24.4,32.3
LUTZ *,2/24/2012,30-40,1,34.6,52.9
LUTZ *,2/24/2012,30-40,2,28.4,39.7
LUTZ *,2/24/2012,30-40,3,36.6,57.8
LUTZ *,2/24/2012,30-40,4,29.5,41.8
LUTZ *,2/24/2012,30-40,5,33.8,51.1
LUTZ *,2/24/2012,30-40,6,36.3,57.1
LUTZ *,2/24/2012,30-40,7,27.6,38.1
LUTZ *,2/24/2012,30-40,8,23.3,30.3
LUTZ *,2/24/2012,30-40,9,29.5,41.8
LUTZ *,2/24/2012,30-40,10,26.6,36.2
LUTZ *,3/1/2012,0-10,1,32.9,49
LUTZ *,3/1/2012,0-10,2,29.6,42.1
LUTZ *,3/1/2012,0-10,3,33.2,49.6
LUTZ *,3/1/2012,0-10,4,27.4,37.8
LUTZ *,3/1/2012,0-10,5,32.3,47.8
LUTZ *,3/1/2012,0-10,6,34.9,53.7
LUTZ *,3/1/2012,0-10,7,29,40.8
LUTZ *,3/1/2012,0-10,8,34.1,51.8
LUTZ *,3/1/2012,0-10,9,27.4,37.7
LUTZ *,3/1/2012,0-10,10,24,31.6
LUTZ *,3/1/2012,30-40,1,34.6,52.9
LUTZ *,3/1/2012,30-40,2,29.2,41.2
LUTZ *,3/1/2012,30-40,3,30.7,44.2
LUTZ *,3/1/2012,30-40,4,26.6,36.3
LUTZ *,3/1/2012,30-40,5,34.6,53
LUTZ *,3/1/2012,30-40,6,38,61.3
LUTZ *,3/1/2012,30-40,7,30.2,43.2
LUTZ *,3/1/2012,30-40,8,23.4,30.5
LUTZ *,3/1/2012,30-40,9,29.6,42
LUTZ *,3/1/2012,30-40,10,25.2,33.8
LUTZ *,3/8/2012,0-10,1,32.1,47.3
LUTZ *,3/8/2012,0-10,2,29.9,42.7
LUTZ *,3/8/2012,0-10,3,33.1,49.5
LUTZ *,3/8/2012,0-10,4,29.5,41.9
LUTZ *,3/8/2012,0-10,5,32.5,48.2
LUTZ *,3/8/2012,0-10,6,37.4,59.8
LUTZ *,3/8/2012,0-10,7,29,40.8
LUTZ *,3/8/2012,0-10,8,33.6,50.5
LUTZ *,3/8/2012,0-10,9,29.3,41.5
LUTZ *,3/8/2012,0-10,10,24.6,32.6
LUTZ *,3/8/2012,30-40,1,32.8,48.7
LUTZ *,3/8/2012,30-40,2,29.5,41.8
LUTZ *,3/8/2012,30-40,3,34.7,53.2
LUTZ *,3/8/2012,30-40,4,27.6,38.1
LUTZ *,3/8/2012,30-40,5,32.6,48.3
LUTZ *,3/8/2012,30-40,6,38.2,61.9
LUTZ *,3/8/2012,30-40,7,27.2,37.4
LUTZ *,3/8/2012,30-40,8,20.9,26.4
LUTZ *,3/8/2012,30-40,9,30,42.8
LUTZ *,3/8/2012,30-40,10,25.9,35
LUTZ *,3/15/2012,0-10,1,33.1,49.6
LUTZ *,3/15/2012,0-10,2,27.7,38.3
LUTZ *,3/15/2012,0-10,3,34,51.5
LUTZ *,3/15/2012,0-10,4,28.3,39.4
LUTZ *,3/15/2012,0-10,5,29.8,42.5
LUTZ *,3/15/2012,0-10,6,36.2,56.9
LUTZ *,3/15/2012,0-10,7,32,47.2
LUTZ *,3/15/2012,0-10,8,33.3,50
LUTZ *,3/15/2012,0-10,9,29,40.8
LUTZ *,3/15/2012,0-10,10,25,33.3
LUTZ *,3/15/2012,30-40,1,29.8,42.4
LUTZ *,3/15/2012,30-40,2,28.6,40.1
LUTZ *,3/15/2012,30-40,3,34.2,52
LUTZ *,3/15/2012,30-40,4,28.4,39.8
LUTZ *,3/15/2012,30-40,5,28.7,40.3
LUTZ *,3/15/2012,30-40,6,36.3,57
LUTZ *,3/15/2012,30-40,7,29.4,41.6
LUTZ *,3/15/2012,30-40,8,15.3,18
LUTZ *,3/15/2012,30-40,9,29.5,41.9
LUTZ *,3/15/2012,30-40,10,26.2,35.4
LUTZ *,3/23/2012,0-10,1,31.7,46.4
LUTZ *,3/23/2012,0-10,2,28.6,40
LUTZ *,3/23/2012,0-10,3,30.5,43.9
LUTZ *,3/23/2012,0-10,4,29.5,41.8
LUTZ *,3/23/2012,0-10,5,30.1,43.1
LUTZ *,3/23/2012,0-10,6,35,53.8
LUTZ *,3/23/2012,0-10,7,32.7,48.5
LUTZ *,3/23/2012,0-10,8,31.8,46.6
LUTZ *,3/23/2012,0-10,9,27.3,37.6
LUTZ *,3/23/2012,0-10,10,24.4,32.3
LUTZ *,3/23/2012,30-40,1,33,49.1
LUTZ *,3/23/2012,30-40,2,29.8,42.4
LUTZ *,3/23/2012,30-40,3,35.9,56.1
LUTZ *,3/23/2012,30-40,4,27.5,38
LUTZ *,3/23/2012,30-40,5,31.3,45.6
LUTZ *,3/23/2012,30-40,6,36.9,58.4
LUTZ *,3/23/2012,30-40,7,28.7,40.3
LUTZ *,3/23/2012,30-40,8,28.5,39.8
LUTZ *,3/23/2012,30-40,9,29.2,41.3
LUTZ *,3/23/2012,30-40,10,24.6,32.6
LUTZ *,3/29/2012,0-10,1,33.4,50.2
LUTZ *,3/29/2012,0-10,2,29.2,41.3
LUTZ *,3/29/2012,0-10,3,33.4,50.2
LUTZ *,3/29/2012,0-10,4,29.9,42.7
LUTZ *,3/29/2012,0-10,5,35.2,54.3
LUTZ *,3/29/2012,0-10,6,37.2,59.2
LUTZ *,3/29/2012,0-10,7,30.2,43.3
LUTZ *,3/29/2012,0-10,8,32.7,48.7
LUTZ *,3/29/2012,0-10,9,29.6,42.1
LUTZ *,3/29/2012,0-10,10,26.9,36.7
LUTZ *,3/29/2012,30-40,1,32.6,48.3
LUTZ *,3/29/2012,30-40,2,28.5,39.9
LUTZ *,3/29/2012,30-40,3,33.8,51.1
LUTZ *,3/29/2012,30-40,4,28.4,39.6
LUTZ *,3/29/2012,30-40,5,34.2,51.9
LUTZ *,3/29/2012,30-40,6,36.7,58
LUTZ *,3/29/2012,30-40,7,29.9,42.7
LUTZ *,3/29/2012,30-40,8,20.2,25.3
LUTZ *,3/29/2012,30-40,9,27.9,38.8
LUTZ *,3/29/2012,30-40,10,26.7,36.4
LUTZ *,4/12/2012,0-10,1,33.3,50
LUTZ *,4/12/2012,0-10,2,30.6,44.1
LUTZ *,4/12/2012,0-10,3,31.1,45.2
